
Wait stablised tot.cpu < 50
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	7	0	0	298	14	69	
0.2	5	0	0	298	14	69	
0.3	11	0	0	298	14	69	
0.4	17	0	0	298	14	69	
0.5	2	0	0	298	14	69	
0.6	2	0	0	298	14	69	
0.7	10	0	0	298	14	69	
0.8	14	0	0	298	14	69	
0.9	10	0	0	298	14	69	
1.0	2	0	0	298	14	69	
1.1	16	0	0	298	14	69	
1.2	5	0	0	298	14	69	
1.3	12	0	0	298	14	69	
1.4	2	0	0	298	14	69	
1.5	9	0	0	298	14	69	
1.6	10	0	0	298	14	69	
1.7	9	0	0	298	14	69	
1.8	11	0	0	298	14	69	
1.9	5	0	0	298	14	69	
2.0	4	0	0	298	14	69	
2.1	13	0	0	298	14	69	
2.2	5	0	0	298	14	69	
2.3	14	0	0	298	14	69	
2.4	15	0	0	298	14	69	
2.5	7	0	0	298	14	69	
2.6	5	0	0	298	15	69	
2.7	8	0	0	298	14	69	
2.8	11	0	0	298	14	69	
3.0	2	0	0	298	14	69	
3.1	11	0	0	298	15	69	
3.2	11	0	0	298	15	69	
 is stablised at 0.1(s)


Fork Launching... "/usr/bin/wascmd -r QizQxC7CUf.PlayMovies" pid:2709
Wait until usr.cpu CPU usage < 30.0
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	72	 "QizQxC7CUf.Play" not found0	297	13	69	
0.5	88	0	10	281	17	71	
0.7	97	2	0	280	16	71	
0.8	88	32	0	280	15	71	
0.9	95	22	0	281	16	71	
1.0	94	32	0	280	15	71	
1.1	90	35	0	279	12	71	
1.2	94	44	0	278	11	71	
1.4	56	8	0	278	10	71	
1.5	57	4	0	278	10	71	
1.6	50	0	0	277	10	71	
1.7	67	16	0	277	10	71	
1.8	87	45	0	277	10	71	
1.9	50	2	0	277	10	71	
2.0	45	0	0	277	10	71	
2.1	50	2	0	277	10	71	
2.2	91	40	0	276	7	71	
2.3	93	35	0	275	6	71	
2.4	98	42	12	273	9	73	
2.5	91	42	6	271	9	73	
2.6	95	32	14	262	5	74	
2.7	98	39	18	258	11	74	
2.8	100	48	7	252	9	75	
3.0	97	36	9	250	12	75	
3.1	98	42	0	245	7	75	
3.2	98	42	14	243	9	76	
3.3	96	43	6	248	19	76	
3.4	83	33	0	249	19	76	
3.5	86	37	0	248	18	76	
3.6	92	43	0	252	22	76	
3.7	92	35	0	244	12	76	
3.8	98	28	0	252	19	76	
3.9	100	8	0	247	13	76	
4.0	100	10	10	244	12	77	
4.1	97	2	5	244	11	77	
4.2	100	0	7	245	12	77	
4.4	98	0	6	245	12	78	
4.5	100	0	6	247	14	78	
4.6	100	0	0	247	13	78	
4.7	93	11	0	247	12	78	
4.8	94	20	0	247	10	78	
4.9	96	49	0	244	8	78	
5.0	100	69	9	240	4	78	
5.1	100	52	25	239	5	79	
5.2	100	36	29	237	5	80	
5.3	100	35	26	238	7	80	
5.4	100	29	37	238	12	82	
5.5	96	30	9	235	10	83	
5.6	79	45	11	241	18	84	
5.7	64	42	0	243	20	84	
5.8	66	47	0	240	16	84	
5.9	65	51	0	234	11	84	
6.0	76	44	13	228	6	85	
6.1	100	38	48	227	12	90	
6.3	73	47	14	224	11	91	
6.4	62	47	4	219	9	91	
6.5	66	49	4	218	11	92	
6.6	68	49	9	218	11	93	
6.7	60	48	2	217	10	93	
6.8	66	44	4	216	10	93	
6.9	64	47	9	212	6	94	
7.0	66	52	11	218	17	94	
7.1	84	65	0	245	42	94	
7.2	57	52	0	245	42	94	
7.3	65	42	0	241	38	94	
7.4	55	50	0	244	40	94	
7.5	60	51	0	244	40	94	
7.6	61	57	0	242	38	94	
7.7	65	53	0	242	38	94	
7.8	55	41	0	242	37	94	
7.9	61	52	0	242	37	94	
8.0	63	49	0	240	35	94	
8.1	61	51	0	240	35	94	
8.2	60	50	0	240	35	94	
8.3	59	52	0	240	35	94	
8.4	65	51	0	239	34	94	
8.5	57	51	0	238	33	94	
8.6	83	50	0	237	30	94	
8.7	96	31	0	236	29	94	
8.8	80	13	0	236	27	94	
8.9	61	0	0	236	27	94	
9.0	66	0	0	232	20	94	
9.1	90	31	0	228	15	94	
9.2	66	17	0	229	14	94	
9.3	62	48	0	228	14	94	
9.5	57	43	0	227	12	94	
9.6	64	0	0	226	10	94	
9.7	66	0	4	227	11	94	
9.8	60	17	0	225	9	94	
9.9	63	47	0	225	8	94	
10.0	65	48	9	225	12	94	
10.1	62	48	0	225	12	94	
10.2	71	56	0	225	12	94	
10.3	98	49	24	218	14	97	
10.4	100	62	2	219	14	97	
10.5	96	50	0	217	11	97	
10.6	100	63	0	214	7	97	
10.7	100	40	19	212	9	99	
10.8	98	39	15	208	8	101	
10.9	100	45	10	204	7	103	
11.0	100	32	17	200	6	104	
11.2	100	37	13	193	5	105	
11.3	100	37	21	194	13	107	
11.4	100	46	16	188	11	108	
11.5	98	45	4	188	13	109	
11.6	96	41	0	188	13	109	
11.7	100	42	0	187	12	109	
11.8	96	46	0	186	10	109	
11.9	100	51	0	189	12	109	
12.0	100	50	0	192	15	109	
12.1	100	51	0	194	18	109	
