
Pre-Reclaim: 150000

Sleep for 5000ms
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	63	0	45	342	38	104	
0.2	63	0	43	345	41	109	
0.3	62	0	52	349	55	115	
0.4	65	0	47	352	58	120	
0.5	64	0	47	357	63	127	
0.6	65	0	45	360	88	131	
0.7	63	0	51	363	95	135	
0.8	63	0	47	366	118	139	
0.9	66	0	50	366	152	139	
1.0	68	0	46	372	162	146	
1.1	33	0	15	373	163	147	
1.2	11	0	0	373	163	147	
1.3	14	0	0	373	163	147	
1.4	18	0	0	373	163	147	
1.5	11	0	0	373	163	147	
1.6	15	0	0	373	163	147	
1.7	18	0	0	373	163	147	
1.8	13	0	0	373	164	147	
1.9	22	0	0	373	163	147	
2.0	16	0	0	373	163	147	
2.1	16	0	0	373	163	147	
2.2	7	0	0	373	163	147	
2.3	12	0	0	373	163	147	
2.4	14	0	0	373	163	147	
2.5	20	0	0	373	163	147	
2.6	12	0	0	373	163	147	
2.7	18	0	0	373	163	147	
2.9	13	0	0	373	163	147	
3.0	15	0	0	373	163	147	
3.1	18	0	0	373	163	147	
3.2	14	0	0	373	163	147	
3.3	16	0	0	373	163	147	
3.4	14	0	0	373	163	147	
3.5	15	0	0	373	163	147	
3.6	16	0	0	373	163	147	
3.7	14	0	0	373	163	147	
3.8	12	0	0	373	163	147	
3.9	16	0	0	373	163	147	
4.0	13	0	0	373	163	147	
4.1	18	0	0	373	163	147	
4.2	16	0	0	373	163	147	
4.3	14	0	0	373	163	147	
4.4	10	0	0	373	163	147	
4.5	15	0	0	373	163	147	
4.6	11	0	0	373	163	147	
4.7	9	0	0	373	163	147	
4.8	14	0	0	373	164	147	
4.9	11	0	0	373	164	147	
5.0	15	0	0	373	164	147	
5.1	15	0	0	373	164	147	

Pre-Reclaim: 0

Sleep for 1000ms
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	23	0	0	373	164	147	
0.2	20	0	0	373	164	147	
0.3	16	0	0	373	164	147	
0.4	13	0	0	373	164	147	
0.5	14	0	0	373	164	147	
0.6	37	0	0	373	164	147	
0.7	25	0	0	373	164	147	
0.8	20	0	0	373	163	147	
0.9	15	0	0	373	163	147	
1.0	19	0	0	373	163	147	

Wait stablised tot.cpu < 50
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.1	4	0	0	373	163	147	
0.2	16	0	0	373	163	147	
0.3	8	0	0	373	164	147	
0.4	15	0	0	373	164	147	
0.5	13	0	0	372	163	147	
0.6	32	0	0	372	163	147	
0.7	37	0	0	372	163	147	
0.8	15	0	0	372	163	147	
0.9	36	0	0	371	161	147	
1.0	69	0	0	371	161	147	
1.1	55	0	0	371	160	147	
1.2	17	0	0	371	160	147	
1.3	13	0	0	371	160	147	
1.4	16	0	0	371	160	147	
1.5	7	0	0	371	160	147	
1.6	22	0	0	371	160	147	
1.7	9	0	0	371	160	147	
1.8	15	0	0	371	160	147	
1.9	17	0	0	371	160	147	
2.0	9	0	0	371	160	147	
2.1	15	0	0	371	160	147	
2.2	11	0	0	371	160	147	
2.3	20	0	0	371	160	147	
2.4	15	0	0	371	160	147	
2.6	20	0	0	371	160	147	
2.7	20	0	0	371	160	147	
2.8	7	0	0	371	160	147	
2.9	16	0	0	371	160	147	
3.0	19	0	0	371	160	147	
3.1	11	0	0	371	160	147	
3.2	16	0	0	371	160	147	
3.3	11	0	0	371	160	147	
3.4	20	0	0	371	160	147	
3.5	13	0	0	371	160	147	
3.6	22	0	0	371	160	147	
3.7	15	0	0	371	160	147	
3.8	16	0	0	371	160	147	
3.9	17	0	0	371	160	147	
4.0	17	0	0	371	160	147	
4.1	15	0	0	371	160	147	
4.2	17	0	0	371	160	147	
4.3	12	0	0	371	161	147	
 is stablised at 1.2(s)


AUL Launching... "org.tizen.browser"
Wait until usr.cpu CPU usage < 30.0
time	tot.cpu	usr.cpu	kswapd	mem.av	mem.fr	mem.sw
0.2	51	0	0	370	153	147	
0.3	60	23	0	361	139	147	
0.4	83	13	0	354	125	147	
0.6	100	9	0	351	121	147	
1.1	100	18	0	349	98	146	
1.4	99	37	0	347	71	146	
1.7	100	29	0	346	65	146	
1.9	100	49	0	346	64	146	
2.0	100	55	0	346	64	146	
2.1	100	50	0	346	62	146	
2.2	92	28	0	345	60	146	
2.3	100	49	0	344	58	146	
2.4	94	49	0	344	56	146	
2.5	98	44	0	344	55	146	
2.6	98	54	0	343	54	146	
2.7	96	62	0	343	52	146	
2.9	98	71	0	342	50	146	
3.0	96	73	0	342	46	146	
3.1	98	63	0	341	45	146	
3.2	100	52	4	332	38	146	
3.3	100	66	2	333	38	146	
3.4	98	54	0	340	45	146	
3.5	100	60	0	339	41	146	
3.6	97	52	0	343	43	146	
3.7	98	53	0	337	36	146	
3.8	100	42	0	343	41	146	
3.9	100	47	0	342	38	146	
4.0	100	44	0	340	36	146	
4.1	100	62	0	340	36	146	
4.2	98	43	0	340	36	146	
4.3	98	44	0	340	35	146	
4.4	100	44	0	339	35	146	
4.5	100	59	0	339	34	146	
4.6	98	53	0	338	33	146	
4.7	98	55	0	337	31	146	
4.8	100	42	0	337	31	146	
4.9	96	45	0	335	29	146	
5.0	78	45	0	335	29	146	
5.1	63	47	0	335	29	146	
5.2	35	20	0	335	29	146	
5.3	31	6	0	335	29	146	
5.4	55	45	0	335	29	146	
5.5	24	6	0	335	29	146	
5.6	16	0	0	335	29	146	
5.7	82	33	0	335	29	146	
5.8	93	37	0	334	27	146	
5.9	73	10	0	332	25	146	
6.0	57	9	0	333	26	146	
6.1	21	4	0	333	26	146	
6.2	26	9	0	333	26	146	
6.3	21	6	0	333	26	146	
6.4	21	6	0	333	26	146	
6.5	27	8	0	333	26	146	
6.7	32	9	0	333	26	146	
6.8	94	38	0	333	26	146	
6.9	100	37	0	331	24	146	
7.0	94	40	0	330	23	146	
7.1	98	56	0	330	21	146	
7.2	100	50	0	329	20	146	
7.3	100	31	0	328	19	146	
7.4	98	26	0	327	18	146	
7.5	100	25	0	325	15	146	
7.6	100	44	0	325	13	146	
7.7	96	65	0	322	10	146	
7.8	100	67	0	320	8	146	
7.9	96	73	0	320	8	146	
8.0	92	42	0	317	5	146	
8.1	98	44	15	317	9	147	
8.2	98	47	2	312	5	147	
8.3	100	30	13	311	9	149	
8.4	100	34	8	308	9	149	
8.5	100	35	13	307	11	150	
8.6	100	37	4	305	10	150	
8.8	97	49	0	308	13	150	
8.9	100	46	0	308	12	150	
9.0	91	23	0	307	11	150	
9.1	76	16	0	308	12	150	
9.2	94	13	10	299	3	150	
9.3	100	17	23	296	4	151	
9.4	100	12	13	297	11	151	
9.5	100	4	0	306	20	151	
9.6	100	10	0	307	22	151	
9.7	100	35	0	310	24	151	
9.8	100	52	0	310	24	151	
9.9	98	48	0	310	24	151	
10.0	76	24	0	310	24	151	
10.1	65	10	0	309	23	151	
10.2	56	12	0	309	20	151	
10.3	76	4	0	311	22	151	
10.4	85	10	0	310	21	151	
10.5	100	13	0	309	20	151	
10.6	98	38	0	297	8	151	
10.7	98	27	6	293	6	152	
10.8	98	22	11	293	13	152	
10.9	98	29	8	282	5	153	
11.0	100	35	19	282	12	153	
11.1	100	38	4	280	12	153	
11.2	100	22	4	275	8	154	
11.4	100	27	15	276	14	154	
11.5	80	20	0	274	13	154	
11.6	88	28	2	273	13	154	
11.7	100	30	7	275	15	155	
11.8	100	40	4	274	14	155	
11.9	89	52	0	274	14	155	
12.0	100	43	0	274	14	155	
12.1	94	37	0	273	14	155	
12.2	83	19	0	270	10	155	
12.3	92	6	30	268	11	156	
12.4	96	25	2	269	11	156	
12.5	73	14	0	269	12	156	
12.6	55	24	0	269	12	156	
12.7	94	20	10	267	10	158	
12.8	100	19	12	265	10	159	
12.9	98	28	2	264	10	159	
13.0	92	26	0	267	12	159	
13.1	100	20	0	265	10	159	
13.2	96	11	6	262	10	159	
13.3	100	8	4	257	6	159	
13.4	100	18	18	255	8	160	
13.5	98	20	10	252	12	160	
13.6	76	6	4	249	10	160	
13.7	96	38	4	247	10	161	
13.9	100	36	9	245	12	161	
14.0	85	19	4	241	11	161	
14.1	77	11	9	238	11	161	
14.2	76	4	10	235	14	162	
14.3	75	10	0	235	14	162	
14.4	73	10	0	236	15	162	
14.5	63	4	0	235	14	162	
14.6	72	11	0	235	14	162	
14.7	67	4	0	235	14	162	
