
Wait stablised tot.cpu < 50
time	tot.cpu	usr.cpu	kswapd	rescd	mem.av	mem.fr	mem.sw	mem.pc
0.1	1	0	0	0	290	22	56	272	
0.2	16	0	0	0	290	22	56	272	
0.3	35	0	0	0	289	20	56	274	
0.4	34	0	0	0	289	19	56	274	
0.5	32	0	0	0	290	19	56	274	
0.6	33	0	0	0	290	19	56	274	
0.7	24	0	0	0	289	18	56	275	
0.8	25	0	0	0	289	17	56	276	
0.9	39	0	0	0	288	16	56	276	
1.0	28	0	0	0	289	17	56	276	
1.1	30	0	0	0	289	17	56	276	
1.2	32	0	0	0	289	17	56	276	
1.3	31	0	0	0	289	17	56	276	
1.4	30	0	0	0	289	17	56	276	
1.5	32	0	0	0	289	17	56	276	
1.6	30	0	0	0	289	17	56	276	
1.7	28	0	0	0	289	17	56	276	
1.8	36	0	0	0	289	17	56	276	
1.9	30	0	0	0	289	17	56	276	
2.0	33	0	0	0	289	17	56	276	
2.1	29	0	0	0	289	17	56	276	
2.2	31	0	0	0	289	17	56	276	
2.3	30	0	0	0	289	17	56	276	
2.4	30	0	0	0	289	17	56	276	
2.5	30	0	0	0	289	17	56	276	
2.7	31	0	0	0	289	17	56	276	
2.8	29	0	0	0	289	17	56	276	
2.9	30	0	0	0	289	17	56	276	
3.0	33	0	0	0	289	17	56	276	
3.1	27	0	0	0	289	16	56	277	
3.2	24	0	0	0	289	15	56	277	
 is stablised at 0.1(s)


AUL Launching... "org.tizen.browser"
Wait until usr.cpu CPU usage < 15.0
time	tot.cpu	usr.cpu	kswapd	rescd	mem.av	mem.fr	mem.sw	mem.pc
0.2	68	0	4	1	277	6	57	275	
0.3	97	26	14	0	273	7	59	270	
0.4	100	45	8	0	273	9	61	268	
0.5	100	36	0	0	271	4	61	271	
0.6	100	31	12	0	271	8	63	268	
0.7	100	43	6	0	272	8	64	268	
0.8	100	40	0	0	272	8	64	269	
0.9	97	48	0	0	272	6	64	270	
1.0	76	45	4	0	271	6	65	268	
1.1	90	67	2	0	271	6	65	269	
1.2	87	53	9	0	272	9	67	266	
1.3	81	49	4	0	272	9	68	266	
1.4	88	50	4	0	271	10	70	265	
1.5	87	48	1	0	271	8	70	267	
1.6	90	42	7	0	279	14	72	269	
1.8	95	35	3	0	279	13	73	270	
1.9	94	45	1	0	279	10	74	273	
2.0	98	38	12	0	278	11	77	271	
2.1	99	26	2	0	277	10	77	271	
2.2	95	27	7	0	277	9	78	271	
2.3	98	25	9	0	276	12	80	269	
2.4	82	40	6	0	277	11	81	270	
2.5	73	37	2	0	276	10	81	270	
2.6	59	24	4	0	277	10	82	271	
2.7	58	24	3	0	277	11	83	271	
2.8	57	25	1	0	277	10	83	271	
2.9	59	26	4	0	278	10	84	271	
3.0	57	27	3	0	278	10	84	272	
3.1	56	25	2	0	278	10	85	272	
3.2	59	28	1	0	278	11	85	271	
3.3	55	26	0	0	278	11	85	271	
3.4	55	26	0	0	279	11	85	272	
3.5	54	24	0	0	279	11	85	272	
3.6	53	27	0	0	278	11	85	272	
3.7	58	24	0	0	278	11	85	272	
3.8	54	26	0	0	278	11	85	272	
3.9	60	26	0	0	281	13	85	272	
4.0	54	26	0	0	281	13	85	272	
4.1	55	26	0	0	281	13	85	272	
4.2	55	26	0	0	281	13	85	272	
4.3	53	25	0	0	281	13	85	272	
4.4	56	23	0	0	281	13	85	272	
4.5	52	26	0	0	281	13	85	272	
4.6	56	23	0	0	281	12	85	272	
4.7	57	8	0	0	281	11	85	274	
4.8	72	17	0	0	279	8	85	275	
4.9	46	1	0	0	279	7	85	275	
5.0	32	0	0	0	279	7	85	275	
5.1	27	0	0	0	279	7	85	276	
5.3	35	0	0	0	279	7	85	276	
5.4	52	23	0	0	279	7	85	276	
5.5	31	0	0	0	279	8	85	276	
