
Wait stablised tot.cpu < 50
time	tot.cpu	usr.cpu	kswapd	rescd	mem.av	mem.fr	mem.sw	mem.pc
0.1	9	0	0	0	288	6	57	282	
0.2	9	0	0	0	288	6	57	282	
0.3	12	0	0	0	288	6	57	282	
0.4	17	0	0	0	288	6	57	282	
0.5	13	0	0	0	289	6	57	283	
0.6	12	0	0	0	289	6	57	283	
0.7	14	0	0	0	289	6	57	283	
0.8	14	0	0	0	289	6	57	283	
0.9	18	0	0	0	289	6	57	283	
1.0	12	0	0	0	289	6	57	283	
1.1	9	0	0	0	289	6	57	283	
1.2	10	0	0	0	289	6	57	283	
1.3	16	0	0	0	289	6	57	283	
1.4	11	0	0	0	289	6	57	283	
1.5	14	0	0	0	289	6	57	283	
1.6	8	0	0	0	289	6	57	283	
1.7	12	0	0	0	289	6	57	283	
1.8	15	0	0	0	289	6	57	283	
1.9	17	0	0	0	289	6	57	283	
2.0	9	0	0	0	289	6	57	283	
2.1	16	0	0	0	289	6	57	283	
2.2	10	0	0	0	289	6	57	283	
2.3	18	0	0	0	289	6	57	283	
2.4	15	0	0	0	289	6	57	283	
2.5	12	0	0	0	289	6	57	283	
2.6	9	0	0	0	289	6	57	283	
2.8	9	0	0	0	289	6	57	283	
2.9	44	0	0	0	290	7	57	283	
3.0	15	0	0	0	290	7	57	283	
3.1	14	0	0	0	290	7	57	283	
3.2	10	0	0	0	290	7	57	283	
 is stablised at 0.1(s)


AUL Launching... "org.tizen.browser"
Wait until usr.cpu CPU usage < 30.0
time	tot.cpu	usr.cpu	kswapd	rescd	mem.av	mem.fr	mem.sw	mem.pc
0.6	92	0	12	1	276	7	65	268	
0.8	100	31	12	0	275	11	67	264	
0.9	100	32	7	0	276	11	67	264	
1.0	100	48	10	0	277	16	69	261	
1.2	100	59	1	0	277	13	69	263	
1.3	100	59	5	0	278	14	71	263	
1.4	100	60	4	0	278	15	71	262	
1.5	100	42	0	0	278	13	71	264	
1.6	100	33	0	0	277	10	71	267	
1.8	100	43	0	0	277	9	71	268	
1.9	100	62	0	0	277	8	71	268	
2.0	98	51	0	0	277	7	71	269	
2.1	100	59	0	0	276	7	71	269	
2.2	100	40	8	0	277	9	73	268	
2.3	100	48	6	0	278	9	73	268	
2.4	100	64	6	0	278	9	74	268	
2.5	98	55	4	0	279	10	75	268	
2.6	100	48	2	0	278	10	75	268	
2.7	100	45	15	0	272	10	77	261	
2.8	100	48	9	0	271	13	78	258	
2.9	98	73	0	0	271	12	78	258	
3.0	100	54	0	0	268	6	78	261	
3.2	100	35	20	0	272	20	80	252	
3.3	100	55	2	0	271	18	80	253	
3.4	100	56	0	0	277	23	80	253	
3.5	100	56	0	0	283	28	80	255	
3.6	100	62	0	0	283	27	80	257	
3.7	100	48	0	0	282	24	80	257	
3.8	100	39	0	0	278	21	80	257	
3.9	100	53	0	0	282	25	80	257	
4.0	96	50	0	0	282	23	80	258	
4.1	98	55	0	0	281	22	80	259	
4.2	94	48	0	0	281	21	80	260	
4.3	94	54	0	0	280	18	80	261	
4.4	72	23	0	0	280	17	80	262	
4.5	67	15	0	0	278	15	80	263	
4.6	22	0	0	0	278	15	80	263	
4.7	7	0	0	0	278	15	80	263	
4.8	12	0	0	0	278	15	80	263	
5.0	40	29	0	0	278	15	80	263	
5.1	32	18	0	0	278	15	80	263	
5.2	15	0	0	0	278	15	80	263	
5.3	60	25	0	0	277	14	80	263	
5.4	96	39	0	0	275	11	80	263	
5.5	76	11	7	0	274	12	80	262	
5.6	46	4	0	0	275	12	80	262	
5.7	26	8	0	0	275	12	80	262	
5.8	23	8	0	0	275	12	80	262	
5.9	20	4	0	0	275	12	80	262	
6.0	20	7	0	0	275	12	80	262	
6.1	16	2	0	0	275	12	80	262	
6.2	20	8	0	0	275	12	80	262	
6.3	21	11	0	0	275	12	80	262	
6.4	9	2	0	0	275	12	80	262	
6.5	24	8	0	0	275	12	80	262	
6.6	45	16	0	0	276	13	80	263	
6.7	90	37	0	0	275	12	80	263	
6.8	98	38	10	0	273	11	81	262	
6.9	96	55	4	0	273	11	81	262	
7.0	98	35	6	0	273	11	82	262	
7.1	100	36	2	0	271	9	82	262	
7.2	100	35	6	0	272	11	83	260	
7.3	100	35	6	0	272	12	84	260	
7.4	100	44	6	0	271	12	84	260	
7.5	100	54	8	0	269	10	85	259	
7.6	100	48	13	0	268	10	85	258	
7.7	100	35	10	0	267	8	86	259	
7.9	100	43	13	0	266	9	87	257	
8.0	100	44	13	0	264	10	88	255	
8.1	100	35	28	0	263	13	91	250	
8.2	98	53	0	0	263	13	91	250	
8.3	94	32	0	0	262	12	91	250	
8.4	100	38	0	0	262	11	91	251	
8.5	84	40	4	0	262	11	91	251	
8.6	68	6	7	0	262	12	91	250	
8.7	71	16	0	0	262	12	91	250	
8.8	90	27	0	0	263	13	91	250	
8.9	60	4	0	0	264	14	91	250	
9.0	74	11	0	0	264	13	91	251	
9.1	100	4	18	0	257	9	92	248	
9.2	100	11	4	0	253	8	92	245	
9.3	100	20	12	0	263	24	93	239	
9.4	100	26	0	0	262	23	93	239	
9.5	100	18	0	0	260	21	93	239	
9.6	98	24	0	0	261	22	93	239	
9.7	100	42	0	0	261	22	93	239	
9.8	87	23	0	0	259	20	93	239	
9.9	96	25	0	0	251	12	93	239	
10.0	100	33	2	0	246	8	93	239	
10.1	100	23	10	0	244	10	94	234	
10.2	96	33	14	0	242	10	95	232	
10.3	100	39	11	0	233	3	96	229	
10.4	100	29	12	0	233	4	96	229	
10.5	98	38	21	0	231	5	97	226	
10.7	100	12	42	0	231	10	99	221	
10.8	100	20	10	0	228	11	99	217	
10.9	90	27	0	0	224	7	99	217	
11.0	83	19	12	0	223	8	99	215	
11.1	94	8	13	0	225	12	100	212	
11.2	92	10	0	0	226	14	100	212	
11.3	82	20	0	0	226	14	100	212	
11.4	100	37	0	0	227	15	100	212	
11.5	98	27	0	0	228	15	100	212	
11.6	63	2	0	0	228	15	100	212	
11.7	73	12	0	0	228	15	100	212	
11.8	82	18	0	0	229	16	100	212	
11.9	98	47	6	0	223	10	100	213	
12.0	100	25	19	0	219	11	101	208	
12.1	100	22	16	0	213	11	103	203	
12.2	98	29	8	0	205	7	103	198	
12.3	100	32	16	0	204	11	104	193	
12.4	67	2	4	0	204	12	105	193	
12.5	71	10	4	0	204	11	106	193	
12.6	76	8	4	0	203	11	106	193	
12.7	80	20	2	0	203	11	106	193	
12.8	92	29	8	0	205	12	107	192	
12.9	81	13	0	0	206	14	107	192	
13.0	76	18	0	0	209	16	107	192	
13.1	95	38	0	0	210	17	107	192	
13.2	81	19	0	0	215	23	107	192	
13.4	100	38	0	0	217	24	107	193	
13.5	100	38	0	0	217	24	107	193	
13.6	65	2	0	0	217	24	107	193	
13.7	67	11	0	0	217	24	107	193	
13.8	62	4	0	0	217	24	107	193	
13.9	71	10	0	0	217	24	107	193	
14.0	70	11	0	0	217	24	107	193	
14.1	64	2	0	0	216	24	107	193	
14.2	70	13	0	0	216	23	107	193	
14.3	66	13	0	0	215	22	107	193	
14.4	64	4	0	0	215	22	107	193	
14.5	100	35	0	0	209	16	107	193	
14.6	100	22	0	0	203	10	107	193	
14.7	100	35	15	0	201	12	108	189	
14.8	88	17	4	0	201	13	108	189	
14.9	86	16	2	0	200	12	109	188	
15.0	81	25	2	0	200	12	109	188	
15.1	100	38	18	0	200	10	110	191	
15.2	94	12	25	0	201	12	113	189	
15.3	73	18	12	0	202	13	114	190	
15.4	89	33	0	0	202	13	114	190	
15.5	87	27	0	0	205	15	114	190	
15.6	73	11	0	0	209	19	114	190	
15.7	67	8	0	0	212	22	114	190	
15.9	75	8	0	0	211	21	114	191	
16.0	69	8	0	0	210	20	114	191	
16.1	64	4	0	0	210	19	114	191	
16.2	80	20	0	0	210	19	114	191	
16.3	73	6	0	0	210	19	114	191	
16.4	96	35	0	0	209	18	114	191	
16.5	96	37	0	0	208	15	114	192	
16.6	98	38	0	0	208	15	114	193	
16.7	98	28	0	0	208	15	114	193	
16.8	98	33	0	0	205	13	114	193	
16.9	100	35	0	0	205	12	114	193	
17.0	100	31	8	0	204	12	115	193	
17.1	92	37	8	0	204	10	116	193	
17.2	96	6	20	0	205	11	118	194	
17.3	78	0	0	0	205	8	118	196	
17.4	92	0	32	0	198	8	121	190	
17.5	98	0	14	0	199	12	123	188	
17.6	96	2	0	0	199	8	123	190	
17.7	92	6	8	0	198	6	123	192	
17.8	100	9	18	0	200	10	125	190	
17.9	100	6	0	0	200	9	125	191	
18.0	100	10	0	0	200	9	125	191	
18.1	100	10	15	0	197	10	126	187	
18.2	100	2	10	0	198	9	127	189	
18.4	100	12	0	0	198	9	127	189	
18.5	100	12	0	0	198	9	127	189	
18.6	100	14	0	0	198	9	127	189	
18.7	100	19	0	0	198	9	127	189	
18.8	94	12	0	0	195	5	127	189	
18.9	100	20	27	0	197	13	131	184	
19.0	98	36	6	0	196	12	131	184	
19.1	100	38	24	0	196	12	134	184	
19.2	100	34	23	0	196	12	137	184	
19.3	100	21	12	0	196	12	138	184	
19.4	100	38	0	0	196	12	138	184	
19.5	94	31	0	0	202	18	138	184	
19.6	76	13	0	0	201	17	138	184	
19.7	54	0	0	0	201	17	138	184	
19.8	67	4	0	0	201	17	138	184	
19.9	80	18	0	0	208	24	138	184	
20.0	60	0	0	0	208	24	138	184	
20.1	59	0	0	0	208	24	138	184	
20.2	59	0	0	0	208	24	138	184	
20.3	63	2	0	0	208	24	138	184	
20.4	64	7	0	0	208	24	138	184	
20.5	71	12	0	0	208	23	138	184	
20.6	57	2	0	0	207	23	138	184	
20.7	56	0	0	0	207	23	138	184	
20.8	60	0	0	0	207	23	138	184	
20.9	60	2	0	0	208	24	138	184	
21.0	56	0	0	0	208	24	138	184	
21.1	70	4	0	0	208	24	138	184	
21.2	58	0	0	0	208	24	138	184	
21.3	56	0	0	0	208	24	138	184	
21.4	98	27	0	0	200	15	138	184	
21.5	100	29	0	0	191	7	138	184	
21.7	100	15	21	0	191	10	141	181	
21.8	100	6	33	0	190	10	145	180	
21.9	72	0	4	0	193	13	145	180	
22.0	72	0	0	0	193	13	145	180	
22.1	63	2	0	0	193	13	145	180	
22.2	78	10	0	0	193	13	145	180	
22.3	67	7	0	0	193	13	145	180	
