
Wait stablised tot.cpu < 50
time	tot.cpu	usr.cpu	kswapd	rescd	mem.av	mem.fr	mem.sw	mem.pc
0.1	9	0	0	0	262	10	81	255	
0.2	9	0	0	0	262	10	81	255	
0.3	20	0	0	0	262	10	81	255	
0.4	22	0	0	0	262	10	81	255	
0.5	22	0	0	0	262	10	81	255	
0.6	18	0	0	0	262	11	81	255	
0.7	18	0	0	0	262	11	81	255	
0.8	16	0	0	0	262	11	81	255	
0.9	22	0	0	0	262	11	81	255	
1.0	18	0	0	0	262	11	81	255	
1.1	17	0	0	0	262	11	81	255	
1.2	9	0	0	0	262	11	81	255	
1.3	7	0	0	0	263	12	81	255	
1.4	9	0	0	0	263	12	81	255	
1.5	9	0	0	0	263	12	81	255	
1.6	4	0	0	0	263	12	81	255	
1.7	14	0	0	0	263	12	81	255	
1.8	9	0	0	0	263	12	81	255	
1.9	22	0	0	0	263	12	81	255	
2.0	18	0	0	0	263	12	81	255	
2.1	19	0	0	0	263	12	81	255	
2.2	14	0	0	0	264	13	81	255	
2.3	23	0	0	0	264	13	81	255	
2.4	15	0	0	0	264	13	81	255	
2.5	19	0	0	0	264	13	81	255	
2.7	17	0	0	0	264	13	81	255	
2.8	23	0	0	0	264	13	81	255	
2.9	18	0	0	0	264	13	81	255	
3.0	26	0	0	0	264	13	81	255	
3.1	19	0	0	0	264	13	81	255	
3.2	18	0	0	0	264	13	81	255	
 is stablised at 0.1(s)


AUL Launching... "org.tizen.browser"
Wait until usr.cpu CPU usage < 30.0
time	tot.cpu	usr.cpu	kswapd	rescd	mem.av	mem.fr	mem.sw	mem.pc
0.9	97	0	4	0	246	7	83	243	
1.1	100	56	16	0	248	14	85	238	
1.3	100	61	3	0	249	13	85	240	
1.4	100	45	0	0	249	9	85	244	
1.5	99	36	0	0	248	6	85	246	
1.7	98	55	0	0	248	6	85	247	
1.8	98	49	12	0	247	5	86	247	
1.9	98	43	16	0	249	9	88	244	
2.0	98	46	0	0	249	8	88	245	
2.1	98	51	8	0	248	6	88	246	
2.2	100	46	18	0	249	8	89	246	
2.3	100	44	12	0	250	8	90	246	
2.4	100	42	15	0	249	7	90	247	
2.5	100	37	18	0	249	7	91	246	
